post_id	make	model	year	odometer	vin	title_status	cylinders	crumb_area	crumb_subarea	price
6881020371	subaru	outback	2016	47494		rebuilt	4 cylinders	minneapolis	ramsey co	14900
6881134223			1997			clean	6 cylinders	minneapolis	washington/WI	500
6881027430			2006			clean		minneapolis	ramsey co	7500
6881147602	subaru	tribeca	2008	202435		clean		minneapolis	washington/WI	3700
6881209566			1997	150596		clean	8 cylinders	minneapolis	carv/sher/wri	8500
6881161202	subaru	forester	2010	86050		clean	4 cylinders	minneapolis	anok/chis/isa	10800
6881194089			2006			clean	4 cylinders	minneapolis	anok/chis/isa	24000
6881239817			2012	37200		clean	6 cylinders	minneapolis	anok/chis/isa	15900
6881020288	subaru	forester	2002	260000		clean		minneapolis	hennepin co	1999
6881318470			1999	228000		clean	4 cylinders	minneapolis	dakota/scott	200
6881185053	subaru	forester	2009	85960		clean	4 cylinders	minneapolis	anok/chis/isa	10500
6881214739			2001	222000		clean	6 cylinders	minneapolis	washington/WI	495
6881341897	subaru	legacy	2010			clean		minneapolis	hennepin co	1200
6881309999	subaru	legacy	2009	93000		clean		minneapolis	hennepin co	3500
6881156972			2007	150000		clean	4 cylinders	atlanta	otp north	3499
6881034760			2007	137318	KL5JD56Z27K497147	clean	4 cylinders	atlanta	atlanta	2100
6881256315	subaru	impreza-wrx	2008	107000		clean	4 cylinders	atlanta	otp north	11300
6881190576			1990	117500	In Pics	clean	8 cylinders	atlanta	otp north	8500
6880980709	subaru	forester	2011			clean		atlanta	otp west	8900
6881184687			2004	227000		rebuilt	8 cylinders	atlanta	atlanta	3600
6881244209			2001			clean	6 cylinders	atlanta	otp south	4200
6881149383			2015	97000	1gks2gkc3fr209017	clean	8 cylinders	atlanta	otp north	32000
6881224199			2008	153524	1GNEC03098R192963	clean	8 cylinders	atlanta	atlanta	10500
6880994143			2011		WBAPN7C50BF184868	clean	6 cylinders	atlanta	atlanta	12500
6881020144			2012	124		lien	6 cylinders	atlanta	otp west	18000
6881181426			2007	136280	1G1ZS58NX7F270738	clean	6 cylinders	atlanta	atlanta	3800
6881292170	subaru	outback	2010	91500		rebuilt	4 cylinders	missoula		8400
6881250851			2004			clean	8 cylinders	missoula		5995
6881072812				112000		clean	8 cylinders	missoula		3800
6881049613			2003	172000		clean	8 cylinders	minneapolis	anok/chis/isa	14500
6881875749			2005			clean		minneapolis	anok/chis/isa	4395
6881788924			2005	296000		clean	8 cylinders	minneapolis	hennepin co	6500
6881975354			1990			clean	4 cylinders	minneapolis	hennepin co	16500
6881777561			2013	91000		clean	8 cylinders	minneapolis	dakota/scott	22500
6881431845	subaru	impreza	2011	122831		clean	4 cylinders	minneapolis	hennepin co	7495
6881490123				272300	WDBAB33A2CB015434	clean	5 cylinders	minneapolis	dakota/scott	1950
6881751329	subaru	forester	2010	151000	Jf2sh6cc6ah737346	clean	4 cylinders	minneapolis	dakota/scott	8000
6881738857			2015			clean		minneapolis	hennepin co	19500
6881410328			2006,2000,2007	4500		clean	8 cylinders	minneapolis	anok/chis/isa	34000
6881633111						clean	8 cylinders	minneapolis	washington/WI	17000
6881483382				285350	3GKFK16R3WG507757	clean	8 cylinders	minneapolis	anok/chis/isa	5400
6881678114			2004	88500		clean	8 cylinders	minneapolis	hennepin co	8500
6881556019			2015	105000		rebuilt	4 cylinders	minneapolis	anok/chis/isa	5900
6881458513			2005	188000		clean	4 cylinders	minneapolis	hennepin co	2500
6881489525			2011	85952		clean	6 cylinders	minneapolis	carv/sher/wri	11800
6881967235			2005	138000	4JEBE222241254270	clean	8 cylinders	minneapolis	hennepin co	9300
6881492709			2008,2012	60454		clean	8 cylinders	minneapolis	dakota/scott	22500
6881975649	subaru	forester	2004			clean	4 cylinders	minneapolis	washington/WI	750
6881625509						clean	8 cylinders	minneapolis	hennepin co	9000
6881658263			2002	2550		clean	8 cylinders	minneapolis	hennepin co	23900
6881753620	subaru	impreza	2008	122000		clean	4 cylinders	minneapolis	ramsey co	5000
6881933348			2012	72261	1G1PG5SB6D7154188	clean	4 cylinders	minneapolis	washington/WI	7995
6881676865			2016	38000		clean	4 cylinders	minneapolis	hennepin co	26500
6881503748			2006	373900	5fyd4fv166b030322	clean	6 cylinders	minneapolis	ramsey co	9975
6881708466			2004			clean		minneapolis	dakota/scott	16500
6881621747			1999	177000		clean		minneapolis	ramsey co	1200
6881718904				19800		lien	4 cylinders	minneapolis	dakota/scott	19500
6881922695			2011	118000		clean	6 cylinders	minneapolis	hennepin co	6500
6881798282			2002	152025	1FMYU93123KD10641	clean	6 cylinders	minneapolis	carv/sher/wri	2295
6881625091	subaru	outback	2009	84500	4S4BP61C997342112	salvage	4 cylinders	minneapolis	hennepin co	5000
6881426679						clean		minneapolis	hennepin co	2500
6881903922			2002		164878j115550	clean		minneapolis	dakota/scott	1100
6881620769			2016	34500		clean	4 cylinders	minneapolis	hennepin co	19800
6881807337			2000	82204		clean		minneapolis	hennepin co	3950
6880772286			1998			clean	8 cylinders	minneapolis	ramsey co	1000
6881509426			2006	142477	1C3AL56T36N168712	clean	6 cylinders	minneapolis	ramsey co	2300
6881391605						clean	8 cylinders	atlanta	otp east	20000
6881349235	subaru	impreza	2009	134000		clean	4 cylinders	atlanta	atlanta	4999
6881720716						clean		atlanta	otp south	8000
6881971214			2008	131000	1GCCS149X88182244	clean	4 cylinders	atlanta	atlanta	west buckhead)
6881945575			1999	200000		clean	8 cylinders	atlanta	atlanta	6500
6881648904				50000		clean	8 cylinders	atlanta	otp north	17000
6881346636	subaru	outback	2006	104086		clean		atlanta	otp east	4900
6881408936				148853	3N1BC13E87L363496	clean	4 cylinders	atlanta	atlanta	2950
6881709038				72000		clean	8 cylinders	atlanta	atlanta	15000
6881879006			2002,2011,2000			clean	6 cylinders	atlanta	atlanta	1
6881897523			2012		1FUJGLDR3CSBC7271	clean	6 cylinders	atlanta	atlanta	25995
6881879560						clean		atlanta	atlanta	26500
6881859493			2014	70000		clean	6 cylinders	atlanta	atlanta	19500
6881842123				181872	1GNMCBE3XAR239888	clean	8 cylinders	atlanta	otp south	11500
6881581398			2004	110082		rebuilt	6 cylinders	atlanta	atlanta	6000
6881893785			1998	109000		clean	8 cylinders	missoula		3100
6881959757	subaru	forester	2016	38000		clean	4 cylinders	missoula		18000
6881686575			2004	159700		clean	6 cylinders	missoula		3500
6881679676	subaru	legacy	2012	65000		clean		missoula		9200
6882323423			1994	290000		clean		minneapolis	washington/WI	1000
6882276333	subaru	outback	2012	61270		salvage	4 cylinders	minneapolis	carv/sher/wri	10000
6882209921			2012	134000		clean	6 cylinders	minneapolis	hennepin co	7500
6882512504			1999			clean		minneapolis	anok/chis/isa	8500
6881995866			2009	147000		clean	5 cylinders	minneapolis	ramsey co	4200
6882341996			2010,2008	122000	1GCHK23618F160339	clean	8 cylinders	minneapolis	hennepin co	22500
6881985680			2010	120000		clean	other	minneapolis	hennepin co	10000
6882085123						clean		minneapolis	anok/chis/isa	2000
6882311042				65000		clean	8 cylinders	minneapolis	washington/WI	12000
6882320655			2007	175000		clean	8 cylinders	minneapolis	carv/sher/wri	4500
6882377010			2016	40500	3GNCJPSB2GL217443	salvage	4 cylinders	minneapolis	dakota/scott	11795
6882504500						missing	8 cylinders	minneapolis	dakota/scott	2500
6882522360			2005	240000		clean		minneapolis	washington/WI	2600
6882144003			2006	84082		clean	8 cylinders	minneapolis	hennepin co	8900
6882124685			2011			rebuilt	6 cylinders	minneapolis	hennepin co	7200
6882534297			1996			clean		minneapolis	dakota/scott	1595
6882374973			2003	174000		clean	8 cylinders	minneapolis	washington/WI	3400
6882264423			2005	200000		clean	4 cylinders	minneapolis	hennepin co	3600
6881456621			2007	75046	3vwpg31y57m421412	clean	5 cylinders	minneapolis	hennepin co	5200
6882657384			1999,1998,2004	123000		clean	4 cylinders	minneapolis	ramsey co	1999
6882044126						clean	8 cylinders	minneapolis	dakota/scott	2
6882045030	subaru	crosstrek				clean	4 cylinders	minneapolis	hennepin co	24000
6882347097			2007	175000		salvage	6 cylinders	minneapolis	washington/WI	1895
6882260447			2008			clean	6 cylinders	minneapolis	anok/chis/isa	1000
6882492034			2005	284000		clean	4 cylinders	minneapolis	carv/sher/wri	2300
6882524055						clean	8 cylinders	minneapolis	washington/WI	33900
6882329284			2011	120000	Jtdkn3duxb0267805	clean	4 cylinders	minneapolis	dakota/scott	7000
6882492199			2003	134000		clean	6 cylinders	minneapolis	hennepin co	2600
6882397305			2016	18450	2C3CDZC90GH200516	clean	8 cylinders	minneapolis	washington/WI	49900
6882582605				244500		clean	5 cylinders	minneapolis	hennepin co	1800
6882079014			2011	140000		clean		atlanta	atlanta	4500
6882611155			2007	147000	WDBTJ75J94F081859	clean	8 cylinders	atlanta	atlanta	7999
6882259042			2007	43579		clean	6 cylinders	atlanta	otp north	12500
