post_id	listing_name	make	model	year	odometer	vin	condition	title_status	cylinders	crumb_area	crumb_subarea	price
6616196531		subaru	impreza-outback	2002	152250		good	clean	4 cylinders	missoula		1995
6614115239		subaru	forester	2001				clean		missoula		2800
6619500662		subaru	legacy-outback	2000	238000		good	clean		missoula		2700
6621992678		subaru	forester	2001	197		excellent	clean	4 cylinders	missoula		2000
6612479814		subaru	impreza-outback	2006	164900		fair	salvage	4 cylinders	missoula		4750
6611903461		subaru		1991	256635	WV2YB0255MG013086	excellent	clean	4 cylinders	missoula		19500
6621494030		subaru	wrx	2005			fair	lien	4 cylinders	atlanta	atlanta	3000
6621600890		subaru	forester	2015	93000			rebuilt		atlanta	atlanta	11500
6620279324		subaru	sti-wrx	2015	50000		excellent	clean	4 cylinders	atlanta	otp north	26100
6620046071		subaru	outback-xt	2005				clean		atlanta	otp south	5000
6619711502		subaru	legacy	2003	116343		fair	clean		minneapolis	hennepin co	550
6622123023		subaru	impreza	2013	111000		good	clean	4 cylinders	minneapolis	hennepin co	9500
6617440384		subaru	legacy					clean		minneapolis	anok/chis/isa	2400
6613181956		subaru	outback	2006	149100		good	clean	4 cylinders	minneapolis	hennepin co	4260
6622435338		subaru	brz	2013			excellent	clean		minneapolis	hennepin co	18000
6621689979		subaru	impreza-wrx	2006	132700		excellent	clean		minneapolis	dakota/scott	9399
6620519771		subaru	tribeca	2008	164700			clean	6 cylinders	minneapolis	dakota/scott	7500
6622853839		subaru	forester	2005				clean	6 cylinders	minneapolis	hennepin co	2600
6615668951		subaru	outback	2000	152000		good	clean	4 cylinders	minneapolis	washington/WI	2850
6618697985		subaru	forester	2005	182000			clean		minneapolis	hennepin co	3200
6620914082		subaru	impreza	2012	70000		good	salvage	4 cylinders	minneapolis	hennepin co	8450
6622422161		subaru	legacy	1999	155000		fair	clean	4 cylinders	minneapolis	anok/chis/isa	800
6620069496		subaru	outback	2006	92298			clean		minneapolis	carv/sher/wri	7500
6621706485		subaru	impreza-outback	2010	111000			lien	4 cylinders	minneapolis	carv/sher/wri	3700
6595470852		subaru		2014	45000		excellent	clean	4 cylinders	minneapolis	washington/WI	9950
6621292184		subaru	forester-wrx	2001				clean	4 cylinders	atlanta	atlanta	1000
6620324146		subaru	forester	2008	1816511	JF1SG656787H71665	good	clean	4 cylinders	atlanta	otp east	2950
6620704103		subaru	forester	2008	126000	JF1SG656X8G704039	good	clean	4 cylinders	atlanta	otp east	4850
6621523232		subaru	outback	2001	173436	4S3BH806517673928	fair	clean	6 cylinders	atlanta	atlanta	2000
